,Language,Query,GitHubUrl,code,relevance
94,Python,unzipping large files,https://github.com/patarapolw/AnkiTools/blob/fab6836dfd9cf5171d9cbff5c55fbb14d2786f05/AnkiTools/editor.py#L53-L59,"def unzip(self, in_file, out_file): with ZipFile(in_file) as zf: zf.extract('collection.anki2', path=self.tempdir) shutil.move(os.path.join(self.tempdir, 'collection.anki2'), out_file) return out_file",3
167,Python,unzipping large files,https://github.com/milinda/htrc-sdk-for-python/blob/d08dbba1a441dcb2bade47deaebc07be68c3a173/htrc/utils.py#L45-L62,"def unzip(zip_content, dest_dir): # From http://stackoverflow.com/a/12886818 with zipfile.ZipFile(zip_content, ""r"") as zf: for member in zf.infolist(): # Path traversal defense copied from # http://hg.python.org/cpython/file/tip/Lib/http/server.py#l789 words = member.filename.split('/') path = dest_dir for word in words[:-1]: drive, word = os.path.splitdrive(word) head, word = os.path.split(word) if word in (os.curdir, os.pardir, ''): continue path = os.path.join(path, word) zf.extract(member, path)",3
348,Python,unzipping large files,https://github.com/JIC-CSB/jicbioimage.transform/blob/494c282d964c3a9b54c2a1b3730f5625ea2a494b/appveyor/install.py#L19-L23,"def unzip_file(zip_fname): """"""Unzip the zip_fname in the current directory."""""" print(""Unzipping {}"".format(zip_fname)) with zipfile.ZipFile(zip_fname) as zf: zf.extractall()",3
349,Python,unzipping large files,https://github.com/uuazed/numerapi/blob/fc9dcc53b32ede95bfda1ceeb62aec1d67d26697/numerapi/numerapi.py#L76-L88,"def _unzip_file(self, src_path, dest_path, filename): """"""unzips file located at src_path into destination_path"""""" self.logger.info(""unzipping file..."") # construct full path (including file name) for unzipping unzip_path = os.path.join(dest_path, filename) utils.ensure_directory_exists(unzip_path) # extract data with zipfile.ZipFile(src_path, ""r"") as z: z.extractall(unzip_path) return True",3
81,Python,unzipping large files,https://github.com/OLC-Bioinformatics/sipprverse/blob/d4f10cdf8e1a39dac0953db61c21c97efc6006de/cgecore/utility.py#L471-L484,"def file_unzipper(directory): """""" This function will unzip all files in the runroot directory and subdirectories """""" debug.log(""Unzipping directory (%s)...""%directory) #FINDING AND UNZIPPING ZIPPED FILES for root, dirs, files in os.walk(directory, topdown=False): if root != """": orig_dir = os.getcwd() os.chdir(directory) Popen('gunzip -q -f *.gz > /dev/null 2>&1', shell=True).wait() Popen('unzip -qq -o ""*.zip"" > /dev/null 2>&1', shell=True).wait() Popen('rm -f *.zip > /dev/null 2>&1', shell=True).wait() os.chdir(orig_dir)",2
637,Python,unzipping large files,https://github.com/nvbn/thefuck/blob/40ab4eb62db57627bff10cf029d29c94704086a2/thefuck/rules/dirty_unzip.py#L15-L25,def _zip_file(command): # unzip works that way: # unzip [-flags] file[.zip] [file(s) ...] [-x file(s) ...] # ^ ^ files to unzip from the archive # archive to unzip for c in command.script_parts[1:]: if not c.startswith('-'): if c.endswith('.zip'): return c else: return u'{}.zip'.format(c),2
787,Python,unzipping large files,https://github.com/nerdvegas/rez/blob/1d3b846d53b5b5404edfe8ddb9083f9ceec8c5e7/src/rez/backport/zipfile.py#L808-L819,"def testzip(self): """"""Read all the files and check the CRC."""""" chunk_size = 2 ** 20 for zinfo in self.filelist: try: # Read by chunks, to avoid an OverflowError or a # MemoryError with very large embedded files. f = self.open(zinfo.filename, ""r"") while f.read(chunk_size): # Check CRC-32 pass except BadZipfile: return zinfo.filename",2
848,Python,unzipping large files,https://github.com/mjirik/io3d/blob/ccaf3e378dcc967f2565d477fc27583fd0f61fcc/io3d/datasets.py#L821-L833,"def unzip_recursive(zip_file_name): """"""Unzip file with all recursive zip files inside and delete zip files after that. :param zip_file_name: file name of zip file :return: list of archive members by name. """""" logger.debug(""unzipping "" + zip_file_name) fnlist = unzip_one(zip_file_name) for fn in fnlist: if zipfile.is_zipfile(fn): local_fnlist = unzip_recursive(fn) fnlist.extend(local_fnlist) return fnlist",2
989,Python,unzipping large files,https://github.com/facelessuser/backrefs/blob/3b3d60f5d57b02044f880aa29c9c5add0e31a34f/tools/unidatadownload.py#L32-L44,"def unzip_unicode(output, version): """"""Unzip the Unicode files."""""" unzipper = zipfile.ZipFile(os.path.join(output, 'unicodedata', '%s.zip' % version)) target = os.path.join(output, 'unicodedata', version) print('Unzipping %s.zip...' % version) os.makedirs(target) for f in unzipper.namelist(): # Do I need backslash on windows? Or is it forward as well? unzipper.extract(f, target)",2
1443,Python,unzipping large files,https://github.com/cs50/lib50/blob/941767f6c0a3b81af0cdea48c25c8d5a761086eb/lib50/_api.py#L570-L611,"def _lfs_add(files, git): """""" Add any oversized files with lfs. Throws error if a file is bigger than 2GB or git-lfs is not installed. """""" # Check for large files > 100 MB (and huge files > 2 GB) # https://help.github.com/articles/conditions-for-large-files/ # https://help.github.com/articles/about-git-large-file-storage/ larges, huges = [], [] for file in files: size = os.path.getsize(file) if size > (100 * 1024 * 1024): larges.append(file) elif size > (2 * 1024 * 1024 * 1024): huges.append(file) # Raise Error if a file is >2GB if huges: raise Error(_(""These files are too large to be submitted:\n{}\n"" ""Remove these files from your directory "" ""and then re-run {}!"").format(""\n"".join(huges), org)) # Add large files (>100MB) with git-lfs if larges: # Raise Error if git-lfs not installed if not shutil.which(""git-lfs""): raise Error(_(""These files are too large to be submitted:\n{}\n"" ""Install git-lfs (or remove these files from your directory) "" ""and then re-run!"").format(""\n"".join(larges))) # Install git-lfs for this repo _run(git(""lfs install --local"")) # For pre-push hook _run(git(""config credential.helper cache"")) # Rm previously added file, have lfs track file, add file again for large in larges: _run(git(""rm --cached {}"".format(shlex.quote(large)))) _run(git(""lfs track {}"".format(shlex.quote(large)))) _run(git(""add {}"".format(shlex.quote(large)))) _run(git(""add --force .gitattributes""))",1
228,Python,unique elements,https://github.com/shoebot/shoebot/blob/d554c1765c1899fa25727c9fc6805d221585562b/lib/graph/cluster.py#L16-L20,"def unique(list): """""" Returns a copy of the list without duplicates. """""" unique = []; [unique.append(x) for x in list if x not in unique] return unique",3
494,Python,unique elements,https://github.com/matthew-brett/delocate/blob/ed48de15fce31c3f52f1a9f32cae1b02fc55aa60/delocate/tools.py#L72-L89,"def unique_by_index(sequence): """""" unique elements in `sequence` in the order in which they occur Parameters ---------- sequence : iterable Returns ------- uniques : list unique elements of sequence, ordered by the order in which the element occurs in `sequence` """""" uniques = [] for element in sequence: if element not in uniques: uniques.append(element) return uniques",3
931,Python,unique elements,https://github.com/wdbm/shijian/blob/ad6aea877e1eb99fe148127ea185f39f1413ed4f/shijian.py#L990-L995,def unique_list_elements(x): unique_elements = [] for element in x: if element not in unique_elements: unique_elements.append(element) return unique_elements,3
1413,Python,unique elements,https://github.com/cloud9ers/gurumate/blob/075dc74d1ee62a8c6b7a8bf2b271364f01629d1e/environment/lib/python2.7/site-packages/IPython/utils/data.py#L22-L42,"def uniq_stable(elems): """"""uniq_stable(elems) -> list Return from an iterable, a list of all the unique elements in the input, but maintaining the order in which they first appear. A naive solution to this problem which just makes a dictionary with the elements as keys fails to respect the stability condition, since dictionaries are unsorted by nature. Note: All elements in the input must be valid dictionary keys for this routine to work, as it internally uses a dictionary for efficiency reasons."""""" unique = [] unique_dict = {} for nn in elems: if nn not in unique_dict: unique.append(nn) unique_dict[nn] = None return unique",3
605,Python,unique elements,https://github.com/radujica/baloo/blob/f6e05e35b73a75e8a300754c6bdc575e5f2d53b9/baloo/weld/weld_ops.py#L529-L569,"def weld_unique(array, weld_type): """"""Return the unique elements of the array. Parameters ---------- array : numpy.ndarray or WeldObject Input array. weld_type : WeldType Type of each element in the input array. Returns ------- WeldObject Representation of this computation. """""" obj_id, weld_obj = create_weld_object(array) weld_template = """"""map( tovec( result( for( map( {array}, |e| {{e, 0si}} ), dictmerger[{type}, i16, +], |b: dictmerger[{type}, i16, +], i: i64, e: {{{type}, i16}}| merge(b, e) ) ) ), |e| e.$0 )"""""" weld_obj.weld_code = weld_template.format(array=obj_id, type=weld_type) return weld_obj",2
1586,Python,unique elements,https://github.com/iotile/coretools/blob/2d794f5f1346b841b0dcd16c9d284e9bf2f3c6ec/iotilebuild/iotile/build/config/scons-local-3.0.1/SCons/Util.py#L1300-L1303,"def __make_unique(self): if not self.unique: self.data = uniquer_hashables(self.data) self.unique = True def __lt__(self, other):",2
1838,Python,unique elements,https://github.com/mbj4668/pyang/blob/f2a5cc3142162e5b9ee4e18d154568d939ff63dd/pyang/plugins/check_update.py#L584-L598,"def chk_unique(old, new, ctx): # do not check the unique argument string; check the parsed unique instead # i_unique is not set in groupings; ignore if not hasattr(old, 'i_unique') or not hasattr(new, 'i_unique'): return oldunique = [] for (u, l) in old.i_unique: oldunique.append((u, [s.arg for s in l])) for (u, l) in new.i_unique: # check if this unique was present before o = util.keysearch([s.arg for s in l], 1, oldunique) if o is not None: oldunique.remove(o) else: err_def_added(u, ctx)",2
651,Python,unique elements,https://github.com/joke2k/faker/blob/965824b61132e52d92d1a6ce470396dbbe01c96c/faker/providers/__init__.py#L180-L205,"def random_elements(self, elements=('a', 'b', 'c'), length=None, unique=False): fn = choices_distribution_unique if unique else choices_distribution if length is None: length = self.generator.random.randint(1, len(elements)) if unique and length > len(elements): raise ValueError( ""Sample length cannot be longer than the number of unique elements to pick from."") if isinstance(elements, dict): choices = elements.keys() probabilities = elements.values() else: if unique: # shortcut return self.generator.random.sample(elements, length) choices = elements probabilities = [1.0 for _ in range(len(choices))] return fn( list(choices), list(probabilities), self.generator.random, length=length, )",1
727,Python,unique elements,https://github.com/joke2k/faker/blob/965824b61132e52d92d1a6ce470396dbbe01c96c/faker/providers/__init__.py#L207-L223,"def random_choices(self, elements=('a', 'b', 'c'), length=None): """""" Returns a list of random, non-unique elements from a passed object. If `elements` is a dictionary, the value will be used as a weighting element. For example:: random_element({""{{variable_1}}"": 0.5, ""{{variable_2}}"": 0.2, ""{{variable_3}}"": 0.2, ""{{variable_4}}"": 0.1}) will have the following distribution: * `variable_1`: 50% probability * `variable_2`: 20% probability * `variable_3`: 20% probability * `variable_4`: 10% probability """""" return self.random_elements(elements, length, unique=False)",1
1170,Python,unique elements,https://github.com/bxlab/bx-python/blob/09cb725284803df90a468d910f2274628d8647de/scripts/bnMapper.py#L102-L117,"def union_elements(elements): """"""elements = [(chr, s, e, id), ...], this is to join elements that have a deletion in the 'to' species """""" if len(elements) < 2: return elements assert set( [e[3] for e in elements] ) == set( [elements[0][3]] ), ""more than one id"" el_id = elements[0][3] unioned_elements = [] for ch, chgrp in groupby(elements, key=itemgetter(0)): for (s, e) in elem_u( np.array([itemgetter(1, 2)(_) for _ in chgrp], dtype=np.uint) ): if (s < e): unioned_elements.append( (ch, s, e, el_id) ) assert len(unioned_elements) <= len(elements) return unioned_elements",0
1611,Python,underline text in label widget,https://github.com/dendory/menu3/blob/350414966e8f5c7737cd527369c8087f4f8f600b/menu3/menu3.py#L45-L49,"def underline(self, text): # Print an underline text if self._windows(): return text else: return self.UNDERLINE + text + self.NORMAL",3
1073,Python,underline text in label widget,https://github.com/katerina7479/pypdflite/blob/ac2501f30d6619eae9dea5644717575ca9263d0a/pypdflite/pdfobjects/pdftext.py#L165-L172,"def _underline(self): # Underline text up = self.font.underline_position ut = self.font.underline_thickness w = self.font._string_width(self.text) s = '%.2f %.2f %.2f %.2f re f' % (self.cursor.x, self.cursor.y_prime - up, w, ut) return s",2
314,Python,underline text in label widget,https://github.com/bitesofcode/projexui/blob/f18a73bec84df90b034ca69b9deea118dbedfc4d/projexui/widgets/xpushbutton.py#L72-L90,"def setShowRichText(self, state): """""" Sets whether or not to display rich text for this button. :param state | <bool> """""" self._showRichText = state text = self.text() if state: label = self.richTextLabel() label.setText(text) label.show() super(XPushButton, self).setText('') else: if self._richTextLabel: self._richTextLabel.hide() super(XPushButton, self).setText(text)",1
606,Python,underline text in label widget,https://github.com/django-leonardo/django-leonardo/blob/4b933e1792221a13b4028753d5f1d3499b0816d4/leonardo/module/web/widgets/forms.py#L55-L144,"def __init__(self, *args, **kwargs): request = kwargs.pop('request', None) model = kwargs.pop('model', None) super(WidgetForm, self).__init__(*args, **kwargs) if isinstance(model, Page): self.fields['parent'] = PageSelectField( label=_(""Parent""), help_text=_(""Parent Page"")) else: self.fields['parent'].widget = forms.widgets.HiddenInput() initial = kwargs.get('initial', None) if initial and initial.get('id', None): widget = self._meta.model.objects.get( id=initial['id']) data = widget.dimensions self.init_content_themes() elif 'instance' in kwargs: widget = kwargs['instance'] data = widget.dimensions self.init_content_themes() else: data = [] widget = None # set defaults and delete id field self.init_themes() del self.fields['id'] # get all fields for widget main_fields = self._meta.model.fields() main_fields.update({'label': 'label'}) main_fields.pop(""parent"", None) self.helper.layout = Layout( TabHolder( Tab(self._meta.model._meta.verbose_name.capitalize(), *self.get_main_fields(main_fields), css_id='field-{}'.format(slugify(self._meta.model)) ), Tab(_('Styles'), 'base_theme', 'content_theme', 'color_scheme', 'prerendered_content', Fieldset(_('Positions'), 'layout', 'align', 'vertical_align', 'parent'), *self.get_id_field(), css_id='theme-widget-settings' ), Tab(_('Effects'), 'enter_effect_style', 'enter_effect_duration', 'enter_effect_delay', 'enter_effect_offset', 'enter_effect_iteration', css_id='theme-widget-effects' ), ), HTML(render_to_string('widget/_update_preview.html', {'class_name': ""."".join([ self._meta.model._meta.app_label, self._meta.model._meta.model_name]) })) ) self.fields['label'].widget = forms.TextInput( attrs={'placeholder': self._meta.model._meta.verbose_name}) if request: _request = copy.copy(request) _request.POST = {} _request.method = 'GET' from .tables import WidgetDimensionTable dimensions = Tab(_('Dimensions'), HTML( WidgetDimensionTable(_request, widget=widget, data=data).render()), ) self.helper.layout[0].append(dimensions) # hide label if 'text' in self.fields: self.fields['text'].label = '' # finally add custom tabs self.init_custom_tabs()",1
728,Python,underline text in label widget,https://github.com/ska-sa/purr/blob/4c848768d0485d0f88b30850d0d5372221b21b66/Purr/MainWindow.py#L123-L128,"def setLabel(self, label=None): if label is None: self.label.hide() else: self.label.setText(label) self.label.show()",1
842,Python,underline text in label widget,https://github.com/spyder-ide/spyder/blob/f76836ce1b924bcc4efd3f74f2960d26a4e528e0/spyder/preferences/configdialog.py#L515-L534,"def create_textedit(self, text, option, default=NoDefault, tip=None, restart=False): label = QLabel(text) label.setWordWrap(True) edit = QPlainTextEdit() edit.setWordWrapMode(QTextOption.WordWrap) layout = QVBoxLayout() layout.addWidget(label) layout.addWidget(edit) layout.setContentsMargins(0, 0, 0, 0) if tip: edit.setToolTip(tip) self.textedits[edit] = (option, default) widget = QWidget(self) widget.label = label widget.textbox = edit widget.setLayout(layout) edit.restart_required = restart edit.label_text = text return widget",1
874,Python,underline text in label widget,https://github.com/nion-software/nionswift/blob/d43693eaf057b8683b9638e575000f055fede452/nion/swift/Facade.py#L594-L597,"def create_label_widget(self, text=None): label_widget = LabelWidget(self.__ui) label_widget.text = text return label_widget",1
1774,Python,underline text in label widget,https://github.com/limodou/uliweb/blob/34472f25e4bc0b954a35346672f94e84ef18b076/uliweb/form/template_layout.py#L90-L108,"def do_td_field(self, indent, value, **kwargs): field_name = kwargs.pop('name', None) field = getattr(self.form, field_name) obj = self.form.fields[field_name] if 'label' in kwargs: label = kwargs.pop('label') else: label = obj.label if label: obj.label = label label_text = obj.get_label(_class='field') else: label_text = '' display = field.data or '&nbsp;' if 'width' not in kwargs: kwargs['width'] = 200 td = begin_tag('td', **kwargs) + u_str(display) + end_tag('td') return indent * ' ' + '<th align=right width=200>%s</th>%s' % (label_text, td)",1
2041,Python,underline text in label widget,https://github.com/tzutalin/labelImg/blob/6afd15aa88f89f41254e0004ed219b3965eb2c0d/labelImg.py#L664-L674,def editLabel(self): if not self.canvas.editing(): return item = self.currentItem() if not item: return text = self.labelDialog.popUp(item.text()) if text is not None: item.setText(text) item.setBackground(generateColorByText(text)) self.setDirty(),1
772,Python,underline text in label widget,https://github.com/tzutalin/labelImg/blob/6afd15aa88f89f41254e0004ed219b3965eb2c0d/labelImg.py#L839-L876,"def newShape(self): """"""Pop-up and give focus to the label editor. position MUST be in global coordinates. """""" if not self.useDefaultLabelCheckbox.isChecked() or not self.defaultLabelTextLine.text(): if len(self.labelHist) > 0: self.labelDialog = LabelDialog( parent=self, listItem=self.labelHist) # Sync single class mode from PR#106 if self.singleClassMode.isChecked() and self.lastLabel: text = self.lastLabel else: text = self.labelDialog.popUp(text=self.prevLabelText) self.lastLabel = text else: text = self.defaultLabelTextLine.text() # Add Chris self.diffcButton.setChecked(False) if text is not None: self.prevLabelText = text generate_color = generateColorByText(text) shape = self.canvas.setLastLabel(text, generate_color, generate_color) self.addLabel(shape) if self.beginner(): # Switch to edit mode. self.canvas.setEditing(True) self.actions.create.setEnabled(True) else: self.actions.editMode.setEnabled(True) self.setDirty() if text not in self.labelHist: self.labelHist.append(text) else: # self.canvas.undoLastLine() self.canvas.resetAllLines()",0
132,Python,string to date,https://github.com/spotify/luigi/blob/c5eca1c3c3ee2a7eb612486192a0da146710a1e9/luigi/date_interval.py#L266-L267,"def to_string(self): return '-'.join([d.strftime('%Y-%m-%d') for d in (self.date_a, self.date_b)])",3
540,Python,string to date,https://github.com/eliangcs/pystock-crawler/blob/8b803c8944f36af46daf04c6767a74132e37a101/pystock_crawler/spiders/yahoo.py#L12-L16,"def parse_date(date_str): if date_str: date = datetime.strptime(date_str, '%Y%m%d') return date.year, date.month - 1, date.day return '', '', ''",3
1051,Python,string to date,https://github.com/log2timeline/plaso/blob/9c564698d2da3ffbe23607a3c54c0582ea18a6cc/plaso/parsers/trendmicroav.py#L144-L194,"def _ConvertToTimestamp(self, date, time): """"""Converts date and time strings into a timestamp. Recent versions of Office Scan write a log field with a Unix timestamp. Older versions may not write this field; their logs only provide a date and a time expressed in the local time zone. This functions handles the latter case. Args: date (str): date as an 8-character string in the YYYYMMDD format. time (str): time as a 3 or 4-character string in the [H]HMM format or a 6-character string in the HHMMSS format. Returns: dfdatetime_time_elements.TimestampElements: the parsed timestamp. Raises: ValueError: if the date and time values cannot be parsed. """""" # Check that the strings have the correct length. if len(date) != 8: raise ValueError( 'Unsupported length of date string: {0!s}'.format(repr(date))) if len(time) < 3 or len(time) > 4: raise ValueError( 'Unsupported length of time string: {0!s}'.format(repr(time))) # Extract the date. try: year = int(date[:4], 10) month = int(date[4:6], 10) day = int(date[6:8], 10) except (TypeError, ValueError): raise ValueError('Unable to parse date string: {0!s}'.format(repr(date))) # Extract the time. Note that a single-digit hour value has no leading zero. try: hour = int(time[:-2], 10) minutes = int(time[-2:], 10) except (TypeError, ValueError): raise ValueError('Unable to parse time string: {0!s}'.format(repr(date))) time_elements_tuple = (year, month, day, hour, minutes, 0) date_time = dfdatetime_time_elements.TimeElements( time_elements_tuple=time_elements_tuple) date_time.is_local_time = True # TODO: add functionality to dfdatetime to control precision. date_time._precision = dfdatetime_definitions.PRECISION_1_MINUTE # pylint: disable=protected-access return date_time",3
1230,Python,string to date,https://github.com/supercoderz/pyeurofx/blob/3f579bb6e4836dadb187df8c74a9d186ae7e39e7/eurofx/common.py#L88-L98,"def get_date(date_string): d=None try: d=datetime.datetime.strptime(date_string, ""%d %B %Y"").date() except: d=datetime.datetime.strptime(date_string, ""%Y-%m-%d"").date() if d: return d.strftime(""%Y-%m-%d"") else: return date_string",3
1605,Python,string to date,https://github.com/roclark/sportsreference/blob/ea0bae432be76450e137671d2998eb38f962dffd/sportsreference/mlb/schedule.py#L172-L179,"def datetime(self): """""" Returns a datetime object of the month, day, year, and time the game was played. """""" date_string = '%s %s' % (self._date, self._year) date_string = re.sub(r' \(\d+\)', '', date_string) return datetime.strptime(date_string, '%A, %b %d %Y')",3
1759,Python,string to date,https://github.com/EdwinvO/pyutillib/blob/6d773c31d1f27cc5256d47feb8afb5c3ae5f0db5/pyutillib/date_utils.py#L35-L84,"def datestr2date(date_str): ''' Turns a string into a datetime.date object. This will only work if the format can be ""guessed"", so the string must have one of the formats from VALID_DATE_FORMATS_TEXT. Args: date_str (str) a string that represents a date Returns: datetime.date object Raises: ValueError if the input string does not have a valid format. ''' if any(c not in '0123456789-/' for c in date_str): raise ValueError('Illegal character in date string') if '/' in date_str: try: m, d, y = date_str.split('/') except: raise ValueError('Date {} must have no or exactly 2 slashes. {}'. format(date_str, VALID_DATE_FORMATS_TEXT)) elif '-' in date_str: try: d, m, y = date_str.split('-') except: raise ValueError('Date {} must have no or exactly 2 dashes. {}'. format(date_str, VALID_DATE_FORMATS_TEXT)) elif len(date_str) == 8 or len(date_str) == 6: d = date_str[-2:] m = date_str[-4:-2] y = date_str[:-4] else: raise ValueError('Date format not recognised. {}'.format( VALID_DATE_FORMATS_TEXT)) if len(y) == 2: year = 2000 + int(y) elif len(y) == 4: year = int(y) else: raise ValueError('year must be 2 or 4 digits') for s in (m, d): if 1 <= len(s) <= 2: month, day = int(m), int(d) else: raise ValueError('m and d must be 1 or 2 digits') try: return datetime.date(year, month, day) except ValueError: raise ValueError('Invalid date {}. {}'.format(date_str, VALID_DATE_FORMATS_TEXT))",3
795,Python,string to date,https://github.com/uw-it-aca/uw-restclients-iasystem/blob/f65f169d54b0d39e2d732cba529ccd8b6cb49f8a/uw_iasystem/evaluation.py#L192-L199,"def _datetime_from_string(date_string): if date_string: date_format = ""%Y-%m-%dT%H:%M:%S"" date_string = date_string.replace(""Z"", """") date = datetime.strptime(date_string, date_format) return pytz.utc.localize(date) return """"",2
352,Python,string to date,https://github.com/robgolding/tasklib/blob/0ad882377639865283021041f19add5aeb10126a/tasklib/serializing.py#L71-L79,"def timestamp_serializer(self, date): if not date: return '' # Any serialized timestamp should be localized, we need to # convert to UTC before converting to string (DATE_FORMAT uses UTC) date = date.astimezone(pytz.utc) return date.strftime(DATE_FORMAT)",1
